Obec;Okres;Kraj
Roznavske Bystre;Okres Roznava;Kosicky kraj
Roztoky;Okres Svidnik;Presovsky kraj
Ruban;Okres Nove Zamky;Nitriansky kraj
Rudina;Okres Kysucke Nove Mesto;Zilinsky kraj
Rudinka;Okres Kysucke Nove Mesto;Zilinsky kraj
Rudinska;Okres Kysucke Nove Mesto;Zilinsky kraj
Rudlov;Okres Vranov nad Toplou;Presovsky kraj
Rudna;Okres Roznava;Kosicky kraj
Rudnany;Okres Spisska Nova Ves;Kosicky kraj
Rudnianska Lehota;Okres Prievidza;Trenciansky kraj
Rudnik, okres Kosice - okolie;Okres Kosice - okolie;Kosicky kraj
Rudnik, okres Myjava;Okres Myjava;Trenciansky kraj
Rudno;Okres Turcianske Teplice;Zilinsky kraj
Rudno nad Hronom;Okres Zarnovica;Banskobystricky kraj
Rumanova;Okres Nitra;Nitriansky kraj
Rumince;Okres Rimavska Sobota;Banskobystricky kraj
Runina;Okres Snina;Presovsky kraj
Ruska;Okres Michalovce;Kosicky kraj
Ruska Bystra;Okres Sobrance;Kosicky kraj
Ruska Kajna;Okres Humenne;Presovsky kraj
Ruska Nova Ves;Okres Presov;Presovsky kraj
Ruska Poruba;Okres Humenne;Presovsky kraj
Ruska Vola;Okres Vranov nad Toplou;Presovsky kraj
Ruska Vola nad Popradom;Okres Stara Lubovna;Presovsky kraj
Ruska Volova;Okres Snina;Presovsky kraj
Ruskov;Okres Kosice - okolie;Kosicky kraj
Ruskovce, okres Banovce nad Bebravou;Okres Banovce nad Bebravou;Trenciansky kraj
Ruskovce, okres Sobrance;Okres Sobrance;Kosicky kraj
Rusky Hrabovec;Okres Sobrance;Kosicky kraj
Rusky Potok;Okres Snina;Presovsky kraj
Ruzina;Okres Lucenec;Banskobystricky kraj
Ruzindol;Okres Trnava;Trnavsky kraj
Ruzomberok;Okres Ruzomberok;Zilinsky kraj
Rybany;Okres Banovce nad Bebravou;Trenciansky kraj
Rybky;Okres Senica;Trnavsky kraj
Rybnik, okres Levice;Okres Levice;Nitriansky kraj
Rybnik, okres Revuca;Okres Revuca;Banskobystricky kraj
Rykyncice;Okres Krupina;Banskobystricky kraj
Sabinov;Okres Sabinov;Presovsky kraj
Sacurov;Okres Vranov nad Toplou;Presovsky kraj
Sadocne;Okres Povazska Bystrica;Trenciansky kraj
Sady nad Torysou;Okres Kosice - okolie;Kosicky kraj
Sahy;Okres Levice;Nitriansky kraj
Sajdikove Humence;Okres Senica;Trnavsky kraj
Sala;Okres Sala;Nitriansky kraj
Salgocka;Okres Galanta;Trnavsky kraj
Salgovce;Okres Topolcany;Nitriansky kraj
Salka;Okres Nove Zamky;Nitriansky kraj
Salov;Okres Levice;Nitriansky kraj
