Obec;Okres;Kraj
Abelova;Okres Lucenec;Banskobystricky kraj
Abovce;Okres Rimavska Sobota;Banskobystricky kraj
Abraham;Okres Galanta;Trnavsky kraj
Abrahamovce, okres Bardejov;Okres Bardejov;Presovsky kraj
Abrahamovce, okres Kezmarok;Okres Kezmarok;Presovsky kraj
Abramova;Okres Turcianske Teplice;Zilinsky kraj
Abranovce;Okres Presov;Presovsky kraj
Adamovske Kochanovce;Okres Trencin;Trenciansky kraj
Adidovce;Okres Humenne;Presovsky kraj
Aleksince;Okres Nitra;Nitriansky kraj
Andovce;Okres Nove Zamky;Nitriansky kraj
Andrejova;Okres Bardejov;Presovsky kraj
Ardanovce;Okres Topolcany;Nitriansky kraj
Ardovo;Okres Roznava;Kosicky kraj
Arnutovce;Okres Spisska Nova Ves;Kosicky kraj
Bab;Okres Nitra;Nitriansky kraj
Babie;Okres Vranov nad Toplou;Presovsky kraj
Babin;Okres Namestovo;Zilinsky kraj
Babina;Okres Zvolen;Banskobystricky kraj
Babindol;Okres Nitra;Nitriansky kraj
Babinec;Okres Rimavska Sobota;Banskobystricky kraj
Bac;Okres Dunajska Streda;Trnavsky kraj
Backa;Okres Trebisov;Kosicky kraj
Backov;Okres Trebisov;Kosicky kraj
Backovik;Okres Kosice - okolie;Kosicky kraj
Bacuch;Okres Brezno;Banskobystricky kraj
Bacurov;Okres Zvolen;Banskobystricky kraj
Badan;Okres Banska Stiavnica;Banskobystricky kraj
Badice;Okres Nitra;Nitriansky kraj
Badin;Okres Banska Bystrica;Banskobystricky kraj
Bahon;Okres Pezinok;Bratislavsky kraj
Bajany;Okres Michalovce;Kosicky kraj
Bajc;Okres Komarno;Nitriansky kraj
Bajerov;Okres Presov;Presovsky kraj
Bajerovce;Okres Sabinov;Presovsky kraj
Bajka;Okres Levice;Nitriansky kraj
Bajtava;Okres Nove Zamky;Nitriansky kraj
Baka;Okres Dunajska Streda;Trnavsky kraj
Balaze;Okres Banska Bystrica;Banskobystricky kraj
Baldovce;Okres Levoca;Presovsky kraj
Balog nad Iplom;Okres Velky Krtis;Banskobystricky kraj
Balon;Okres Dunajska Streda;Trnavsky kraj
Bana;Okres Stropkov;Presovsky kraj
Banka;Okres Piestany;Trnavsky kraj
Banov;Okres Nove Zamky;Nitriansky kraj
Banovce nad Bebravou;Okres Banovce nad Bebravou;Trenciansky kraj
Banovce nad Ondavou;Okres Michalovce;Kosicky kraj
Banska Bela;Okres Banska Stiavnica;Banskobystricky kraj
Banska Bystrica;Okres Banska Bystrica;Banskobystricky kraj
Banska Stiavnica;Okres Banska Stiavnica;Banskobystricky kraj
Banske;Okres Vranov nad Toplou;Presovsky kraj
Bansky Studenec;Okres Banska Stiavnica;Banskobystricky kraj
Bara;Okres Trebisov;Kosicky kraj
Barca;Okres Rimavska Sobota;Banskobystricky kraj
Bardejov;Okres Bardejov;Presovsky kraj
Bardonovo;Okres Nove Zamky;Nitriansky kraj
Bartosova Lehotka;Okres Ziar nad Hronom;Banskobystricky kraj
Bartosovce;Okres Bardejov;Presovsky kraj
Baska;Okres Kosice - okolie;Kosicky kraj
Baskovce, okres Humenne;Okres Humenne;Presovsky kraj
Baskovce, okres Sobrance;Okres Sobrance;Kosicky kraj
Basovce;Okres Piestany;Trnavsky kraj
Batizovce;Okres Poprad;Presovsky kraj
Batka;Okres Rimavska Sobota;Banskobystricky kraj
Batorova;Okres Velky Krtis;Banskobystricky kraj
Batorove Kosihy;Okres Komarno;Nitriansky kraj
Batovce;Okres Levice;Nitriansky kraj
Beckov;Okres Nove Mesto nad Vahom;Trenciansky kraj
Beharovce;Okres Levoca;Presovsky kraj
Becherov;Okres Bardejov;Presovsky kraj
Bela nad Cirochou;Okres Snina;Presovsky kraj
Bela, okres Nove Zamky;Okres Nove Zamky;Nitriansky kraj
Bela, okres Zilina;Okres Zilina;Zilinsky kraj
Beladice;Okres Zlate Moravce;Nitriansky kraj
Bela-Dulice;Okres Martin;Zilinsky kraj
Belejovce;Okres Svidnik;Presovsky kraj
Belin;Okres Rimavska Sobota;Banskobystricky kraj
Belina;Okres Lucenec;Banskobystricky kraj
Belince;Okres Topolcany;Nitriansky kraj
Bellova Ves;Okres Dunajska Streda;Trnavsky kraj
Beloveza;Okres Bardejov;Presovsky kraj
Beluj;Okres Banska Stiavnica;Banskobystricky kraj
Belusa;Okres Puchov;Trenciansky kraj
Belza;Okres Kosice - okolie;Kosicky kraj
Benadikova;Okres Liptovsky Mikulas;Zilinsky kraj
Benadikovce;Okres Svidnik;Presovsky kraj
Benadovo;Okres Namestovo;Zilinsky kraj
Benatina;Okres Sobrance;Kosicky kraj
Beniakovce;Okres Kosice - okolie;Kosicky kraj
Benice;Okres Martin;Zilinsky kraj
Benkovce;Okres Vranov nad Toplou;Presovsky kraj
Benus;Okres Brezno;Banskobystricky kraj
Bernolakovo;Okres Senec;Bratislavsky kraj
Bertotovce;Okres Presov;Presovsky kraj
Besa, okres Levice;Okres Levice;Nitriansky kraj
Besa, okres Michalovce;Okres Michalovce;Kosicky kraj
Besenov;Okres Nove Zamky;Nitriansky kraj
Besenova;Okres Ruzomberok;Zilinsky kraj
Betlanovce;Okres Spisska Nova Ves;Kosicky kraj
Betliar;Okres Roznava;Kosicky kraj
Bezovce;Okres Sobrance;Kosicky kraj
Bidovce;Okres Kosice - okolie;Kosicky kraj
Biel;Okres Trebisov;Kosicky kraj
Bielovce;Okres Levice;Nitriansky kraj
Biely Kostol;Okres Trnava;Trnavsky kraj
Bijacovce;Okres Levoca;Presovsky kraj
Bilkove Humence;Okres Senica;Trnavsky kraj
Bina;Okres Nove Zamky;Nitriansky kraj
Binovce;Okres Trnava;Trnavsky kraj
Biskupice;Okres Lucenec;Banskobystricky kraj
Biskupova;Okres Topolcany;Nitriansky kraj
Bitarova;Okres Zilina;Zilinsky kraj
Blahova;Okres Dunajska Streda;Trnavsky kraj
Blatna na Ostrove;Okres Dunajska Streda;Trnavsky kraj
Blatna Polianka;Okres Sobrance;Kosicky kraj
Blatne;Okres Senec;Bratislavsky kraj
Blatne Remety;Okres Sobrance;Kosicky kraj
Blatne Revistia;Okres Sobrance;Kosicky kraj
Blatnica;Okres Martin;Zilinsky kraj
Blazice;Okres Kosice - okolie;Kosicky kraj
Blazovce;Okres Turcianske Teplice;Zilinsky kraj
Blesovce;Okres Topolcany;Nitriansky kraj
Blhovce;Okres Rimavska Sobota;Banskobystricky kraj
Bobot;Okres Trencin;Trenciansky kraj
Bobrov;Okres Namestovo;Zilinsky kraj
Bobrovcek;Okres Liptovsky Mikulas;Zilinsky kraj
Bobrovec;Okres Liptovsky Mikulas;Zilinsky kraj
Bobrovnik;Okres Liptovsky Mikulas;Zilinsky kraj
Bociar;Okres Kosice - okolie;Kosicky kraj
Bodiky;Okres Dunajska Streda;Trnavsky kraj
Bodina;Okres Povazska Bystrica;Trenciansky kraj
Bodorova;Okres Turcianske Teplice;Zilinsky kraj
Bodovce;Okres Sabinov;Presovsky kraj
Bodruzal;Okres Svidnik;Presovsky kraj
Bodza;Okres Komarno;Nitriansky kraj
Bodzianske Luky;Okres Komarno;Nitriansky kraj
Bogliarka;Okres Bardejov;Presovsky kraj
Bohdanovce;Okres Kosice - okolie;Kosicky kraj
Bohdanovce nad Trnavou;Okres Trnava;Trnavsky kraj
Bohelov;Okres Dunajska Streda;Trnavsky kraj
Bohunice, okres Ilava;Okres Ilava;Trenciansky kraj
Bohunice, okres Levice;Okres Levice;Nitriansky kraj
Bohunovo;Okres Roznava;Kosicky kraj
Bojna;Okres Topolcany;Nitriansky kraj
Bojnice;Okres Prievidza;Trenciansky kraj
Bojnicky;Okres Hlohovec;Trnavsky kraj
Bol;Okres Trebisov;Kosicky kraj
Boldog;Okres Senec;Bratislavsky kraj
Boleraz;Okres Trnava;Trnavsky kraj
Bolesov;Okres Ilava;Trenciansky kraj
Boliarov;Okres Kosice - okolie;Kosicky kraj
Bolkovce;Okres Lucenec;Banskobystricky kraj
Borcany;Okres Banovce nad Bebravou;Trenciansky kraj
Borcice;Okres Ilava;Trenciansky kraj
Borcova;Okres Turcianske Teplice;Zilinsky kraj
Borinka;Okres Malacky;Bratislavsky kraj
Borka;Okres Roznava;Kosicky kraj
Borova;Okres Trnava;Trnavsky kraj
Borovce;Okres Piestany;Trnavsky kraj
Borsa;Okres Trebisov;Kosicky kraj
Borsky Mikulas;Okres Senica;Trnavsky kraj
Borsky Svaty Jur;Okres Senica;Trnavsky kraj
Bory;Okres Levice;Nitriansky kraj
Bosaca;Okres Nove Mesto nad Vahom;Trenciansky kraj
Bosany;Okres Partizanske;Trenciansky kraj
Botany;Okres Trebisov;Kosicky kraj
Bottovo;Okres Rimavska Sobota;Banskobystricky kraj
Bracovce;Okres Michalovce;Kosicky kraj
Branc;Okres Nitra;Nitriansky kraj
Branovo;Okres Nove Zamky;Nitriansky kraj
Bratislava - mestska cast Cunovo;Okres Bratislava V;Bratislavsky kraj
Bratislava - mestska cast Devin;Okres Bratislava IV;Bratislavsky kraj
Bratislava - mestska cast Devinska Nova Ves;Okres Bratislava IV;Bratislavsky kraj
Bratislava - mestska cast Dubravka;Okres Bratislava IV;Bratislavsky kraj
Bratislava - mestska cast Jarovce;Okres Bratislava V;Bratislavsky kraj
Bratislava - mestska cast Karlova Ves;Okres Bratislava IV;Bratislavsky kraj
Bratislava - mestska cast Lamac;Okres Bratislava IV;Bratislavsky kraj
Bratislava - mestska cast Nove Mesto;Okres Bratislava III;Bratislavsky kraj
Bratislava - mestska cast Petrzalka;Okres Bratislava V;Bratislavsky kraj
Bratislava - mestska cast Podunajske Biskupice;Okres Bratislava II;Bratislavsky kraj
Bratislava - mestska cast Raca;Okres Bratislava III;Bratislavsky kraj
Bratislava - mestska cast Rusovce;Okres Bratislava V;Bratislavsky kraj
Bratislava - mestska cast Ruzinov;Okres Bratislava II;Bratislavsky kraj
Bratislava - mestska cast Stare Mesto;Okres Bratislava I;Bratislavsky kraj
Bratislava - mestska cast Vajnory;Okres Bratislava III;Bratislavsky kraj
Bratislava - mestska cast Vrakuna;Okres Bratislava II;Bratislavsky kraj
Bratislava - mestska cast Zahorska Bystrica;Okres Bratislava IV;Bratislavsky kraj
Bravacovo;Okres Brezno;Banskobystricky kraj
Brdarka;Okres Roznava;Kosicky kraj
Brehov;Okres Trebisov;Kosicky kraj
Brehy;Okres Zarnovica;Banskobystricky kraj
Brekov;Okres Humenne;Presovsky kraj
Brestov nad Laborcom;Okres Medzilaborce;Presovsky kraj
Brestov, okres Humenne;Okres Humenne;Presovsky kraj
Brestov, okres Presov;Okres Presov;Presovsky kraj
Brestovany;Okres Trnava;Trnavsky kraj
Brestovec, okres Komarno;Okres Komarno;Nitriansky kraj
Brestovec, okres Myjava;Okres Myjava;Trenciansky kraj
Bretejovce;Okres Presov;Presovsky kraj
Bretka;Okres Roznava;Kosicky kraj
Breza;Okres Namestovo;Zilinsky kraj
Brezany, okres Zilina;Okres Zilina;Zilinsky kraj
Brezany, okres Presov;Okres Presov;Presovsky kraj
Brezina;Okres Trebisov;Kosicky kraj
Breziny;Okres Zvolen;Banskobystricky kraj
Breznica;Okres Stropkov;Presovsky kraj
Breznicka, okres Poltar;Okres Poltar;Banskobystricky kraj
Breznicka, okres Stropkov;Okres Stropkov;Presovsky kraj
Brezno;Okres Brezno;Banskobystricky kraj
Brezolupy;Okres Banovce nad Bebravou;Trenciansky kraj
Brezov;Okres Bardejov;Presovsky kraj
Brezova pod Bradlom;Okres Myjava;Trenciansky kraj
Brezovec;Okres Snina;Presovsky kraj
Brezovica, okres Sabinov;Okres Sabinov;Presovsky kraj
Brezovica, okres Tvrdosin;Okres Tvrdosin;Zilinsky kraj
Brezovicka;Okres Sabinov;Presovsky kraj
Brezovka;Okres Bardejov;Presovsky kraj
Brhlovce;Okres Levice;Nitriansky kraj
Briestie;Okres Turcianske Teplice;Zilinsky kraj
Brodske;Okres Skalica;Trnavsky kraj
Brodzany;Okres Partizanske;Trenciansky kraj
Brunovce;Okres Nove Mesto nad Vahom;Trenciansky kraj
Brusnica;Okres Stropkov;Presovsky kraj
Brusnik;Okres Velky Krtis;Banskobystricky kraj
Brusno;Okres Banska Bystrica;Banskobystricky kraj
Brutovce;Okres Levoca;Presovsky kraj
Bruty;Okres Nove Zamky;Nitriansky kraj
Brvniste;Okres Povazska Bystrica;Trenciansky kraj
Brzotin;Okres Roznava;Kosicky kraj
Buc;Okres Komarno;Nitriansky kraj
Bucany;Okres Trnava;Trnavsky kraj
Buclovany;Okres Bardejov;Presovsky kraj
Budca;Okres Zvolen;Banskobystricky kraj
Budikovany;Okres Rimavska Sobota;Banskobystricky kraj
Budimir;Okres Kosice - okolie;Kosicky kraj
Budina;Okres Lucenec;Banskobystricky kraj
Budince;Okres Michalovce;Kosicky kraj
Budis;Okres Turcianske Teplice;Zilinsky kraj
Budkovce;Okres Michalovce;Kosicky kraj
Budmerice;Okres Pezinok;Bratislavsky kraj
Buglovce;Okres Levoca;Presovsky kraj
Bukova;Okres Trnava;Trnavsky kraj
Bukovce;Okres Stropkov;Presovsky kraj
Bukovec, okres Kosice - okolie;Okres Kosice - okolie;Kosicky kraj
Bukovec, okres Myjava;Okres Myjava;Trenciansky kraj
Bukovina;Okres Liptovsky Mikulas;Zilinsky kraj
Bulhary;Okres Lucenec;Banskobystricky kraj
Bunetice;Okres Kosice - okolie;Kosicky kraj
Bunkovce;Okres Sobrance;Kosicky kraj
Busince;Okres Velky Krtis;Banskobystricky kraj
Busovce;Okres Kezmarok;Presovsky kraj
Buzica;Okres Kosice - okolie;Kosicky kraj
Buzitka;Okres Lucenec;Banskobystricky kraj
Bysta;Okres Trebisov;Kosicky kraj
Bystra, okres Brezno;Okres Brezno;Banskobystricky kraj
Bystra, okres Stropkov;Okres Stropkov;Presovsky kraj
Bystrany;Okres Spisska Nova Ves;Kosicky kraj
Bystre;Okres Vranov nad Toplou;Presovsky kraj
Bystricany;Okres Prievidza;Trenciansky kraj
Bystricka;Okres Martin;Zilinsky kraj
Bytca;Okres Bytca;Zilinsky kraj
Bzany;Okres Stropkov;Presovsky kraj
Bzenica;Okres Ziar nad Hronom;Banskobystricky kraj
Bzenov;Okres Presov;Presovsky kraj
Bzince pod Javorinou;Okres Nove Mesto nad Vahom;Trenciansky kraj
Bziny;Okres Dolny Kubin;Zilinsky kraj
Bzovik;Okres Krupina;Banskobystricky kraj
Bzovska Lehotka;Okres Zvolen;Banskobystricky kraj
Cab;Okres Nitra;Nitriansky kraj
Cabaj-Capor;Okres Nitra;Nitriansky kraj
Cabalovce;Okres Medzilaborce;Presovsky kraj
Cabiny;Okres Medzilaborce;Presovsky kraj
Cabov;Okres Vranov nad Toplou;Presovsky kraj
Cabradsky Vrbovok;Okres Krupina;Banskobystricky kraj
Cadca;Okres Cadca;Zilinsky kraj
Cachtice;Okres Nove Mesto nad Vahom;Trenciansky kraj
Cajkov;Okres Levice;Nitriansky kraj
Caka;Okres Levice;Nitriansky kraj
Cakajovce;Okres Nitra;Nitriansky kraj
Cakanovce, okres Kosice - okolie;Okres Kosice - okolie;Kosicky kraj
Cakanovce, okres Lucenec;Okres Lucenec;Banskobystricky kraj
Cakany;Okres Dunajska Streda;Trnavsky kraj
Caklov;Okres Vranov nad Toplou;Presovsky kraj
Cakov;Okres Rimavska Sobota;Banskobystricky kraj
Calovec;Okres Komarno;Nitriansky kraj
Camovce;Okres Lucenec;Banskobystricky kraj
Cana;Okres Kosice - okolie;Kosicky kraj
Caradice;Okres Zlate Moravce;Nitriansky kraj
Cary;Okres Senica;Trnavsky kraj
Casta;Okres Pezinok;Bratislavsky kraj
Castkov;Okres Senica;Trnavsky kraj
Castkovce;Okres Nove Mesto nad Vahom;Trenciansky kraj
Cata;Okres Levice;Nitriansky kraj
Cataj;Okres Senec;Bratislavsky kraj
Cavoj;Okres Prievidza;Trenciansky kraj
Cebovce;Okres Velky Krtis;Banskobystricky kraj
Cecehov;Okres Michalovce;Kosicky kraj
Cecejovce;Okres Kosice - okolie;Kosicky kraj
Cechy;Okres Nove Zamky;Nitriansky kraj
Cechynce;Okres Nitra;Nitriansky kraj
Cejkov;Okres Trebisov;Kosicky kraj
Cekovce;Okres Krupina;Banskobystricky kraj
Celadice;Okres Nitra;Nitriansky kraj
Celadince;Okres Topolcany;Nitriansky kraj
Celare;Okres Velky Krtis;Banskobystricky kraj
Celkova Lehota;Okres Povazska Bystrica;Trenciansky kraj
Celovce;Okres Trebisov;Kosicky kraj
Celovce, okres Presov;Okres Presov;Presovsky kraj
Celovce, okres Velky Krtis;Okres Velky Krtis;Banskobystricky kraj
Cenkovce;Okres Dunajska Streda;Trnavsky kraj
Cerenany;Okres Prievidza;Trenciansky kraj
Cerencany;Okres Rimavska Sobota;Banskobystricky kraj
Cerhov;Okres Trebisov;Kosicky kraj
Cerin;Okres Banska Bystrica;Banskobystricky kraj
Cermany;Okres Topolcany;Nitriansky kraj
Cernik;Okres Nove Zamky;Nitriansky kraj
Cernina, okres Svidnik;Okres Svidnik;Presovsky kraj
Cernina, okres Humenne;Okres Humenne;Presovsky kraj
Cernochov;Okres Trebisov;Kosicky kraj
Cerova;Okres Senica;Trnavsky kraj
Cerovo;Okres Krupina;Banskobystricky kraj
Certizne;Okres Medzilaborce;Presovsky kraj
Cervena Voda;Okres Sabinov;Presovsky kraj
Cervenany;Okres Velky Krtis;Banskobystricky kraj
Cervenica;Okres Presov;Presovsky kraj
Cervenica pri Sabinove;Okres Sabinov;Presovsky kraj
Cervenik;Okres Hlohovec;Trnavsky kraj
Cerveny Hradok;Okres Zlate Moravce;Nitriansky kraj
Cerveny Kamen;Okres Ilava;Trenciansky kraj
Cerveny Klastor;Okres Kezmarok;Presovsky kraj
Ceske Brezovo;Okres Poltar;Banskobystricky kraj
Cestice;Okres Kosice - okolie;Kosicky kraj
Cicarovce;Okres Michalovce;Kosicky kraj
Cicava;Okres Vranov nad Toplou;Presovsky kraj
Cicmany;Okres Zilina;Zilinsky kraj
Cicov;Okres Komarno;Nitriansky kraj
Cierna;Okres Trebisov;Kosicky kraj
Cierna Lehota, okres Banovce nad Bebravou;Okres Banovce nad Bebravou;Trenciansky kraj
Cierna Lehota, okres Roznava;Okres Roznava;Kosicky kraj
Cierna nad Tisou;Okres Trebisov;Kosicky kraj
Cierna Voda;Okres Galanta;Trnavsky kraj
Cierne;Okres Cadca;Zilinsky kraj
Cierne Klacany;Okres Zlate Moravce;Nitriansky kraj
Cierne nad Toplou;Okres Vranov nad Toplou;Presovsky kraj
Cierne Pole;Okres Michalovce;Kosicky kraj
Cierny Balog;Okres Brezno;Banskobystricky kraj
Cierny Brod;Okres Galanta;Trnavsky kraj
Cierny Potok;Okres Rimavska Sobota;Banskobystricky kraj
Cifare;Okres Nitra;Nitriansky kraj
Cifer;Okres Trnava;Trnavsky kraj
Cigel;Okres Prievidza;Trenciansky kraj
Cigelka;Okres Bardejov;Presovsky kraj
Cigla;Okres Svidnik;Presovsky kraj
Cilizska Radvan;Okres Dunajska Streda;Trnavsky kraj
Cimenna;Okres Banovce nad Bebravou;Trenciansky kraj
Cimhova;Okres Tvrdosin;Zilinsky kraj
Cinobana;Okres Poltar;Banskobystricky kraj
Circ;Okres Stara Lubovna;Presovsky kraj
Ciz;Okres Rimavska Sobota;Banskobystricky kraj
Cizatice;Okres Kosice - okolie;Kosicky kraj
Coltovo;Okres Roznava;Kosicky kraj
Cremosne;Okres Turcianske Teplice;Zilinsky kraj
Cucma;Okres Roznava;Kosicky kraj
Cukalovce;Okres Snina;Presovsky kraj
Dacov;Okres Sabinov;Presovsky kraj
Dacov Lom;Okres Velky Krtis;Banskobystricky kraj
Daletice;Okres Sabinov;Presovsky kraj
Danisovce;Okres Spisska Nova Ves;Kosicky kraj
Danova;Okres Martin;Zilinsky kraj
Dapalovce;Okres Vranov nad Toplou;Presovsky kraj
Dargov;Okres Trebisov;Kosicky kraj
Davidov;Okres Vranov nad Toplou;Presovsky kraj
Debrad;Okres Kosice - okolie;Kosicky kraj
Dedacov;Okres Humenne;Presovsky kraj
Dedina Mladeze;Okres Komarno;Nitriansky kraj
Dedinka;Okres Nove Zamky;Nitriansky kraj
Dedinky;Okres Roznava;Kosicky kraj
Dechtice;Okres Trnava;Trnavsky kraj
Dekys;Okres Banska Stiavnica;Banskobystricky kraj
Demandice;Okres Levice;Nitriansky kraj
Demanovska Dolina;Okres Liptovsky Mikulas;Zilinsky kraj
Demjata;Okres Presov;Presovsky kraj
Detrik;Okres Vranov nad Toplou;Presovsky kraj
Detva;Okres Detva;Banskobystricky kraj
Detvianska Huta;Okres Detva;Banskobystricky kraj
Devicany;Okres Levice;Nitriansky kraj
Devicie;Okres Krupina;Banskobystricky kraj
Dezerice;Okres Banovce nad Bebravou;Trenciansky kraj
Diakova;Okres Martin;Zilinsky kraj
Diakovce;Okres Sala;Nitriansky kraj
Diviacka Nova Ves;Okres Prievidza;Trenciansky kraj
Diviaky nad Nitricou;Okres Prievidza;Trenciansky kraj
Divin;Okres Lucenec;Banskobystricky kraj
Divina;Okres Zilina;Zilinsky kraj
Divinka;Okres Zilina;Zilinsky kraj
Dlha;Okres Trnava;Trnavsky kraj
Dlha nad Kysucou;Okres Cadca;Zilinsky kraj
Dlha nad Oravou;Okres Dolny Kubin;Zilinsky kraj
Dlha nad Vahom;Okres Sala;Nitriansky kraj
Dlha Ves;Okres Roznava;Kosicky kraj
Dlhe Klcovo;Okres Vranov nad Toplou;Presovsky kraj
Dlhe nad Cirochou;Okres Snina;Presovsky kraj
Dlhe Pole;Okres Zilina;Zilinsky kraj
Dlhe Straze;Okres Levoca;Presovsky kraj
Dlhona;Okres Svidnik;Presovsky kraj
Dlzin;Okres Prievidza;Trenciansky kraj
Dobra;Okres Trebisov;Kosicky kraj
Dobra Niva;Okres Zvolen;Banskobystricky kraj
Dobra Voda;Okres Trnava;Trnavsky kraj
Dobroc;Okres Lucenec;Banskobystricky kraj
Dobrohost;Okres Dunajska Streda;Trnavsky kraj
Dobroslava;Okres Svidnik;Presovsky kraj
Dobsina;Okres Roznava;Kosicky kraj
Dohnany;Okres Puchov;Trenciansky kraj
Dojc;Okres Senica;Trnavsky kraj
Dolany, okres Levoca;Okres Levoca;Presovsky kraj
Dolany, okres Pezinok;Okres Pezinok;Bratislavsky kraj
Dolinka;Okres Velky Krtis;Banskobystricky kraj
Dolna Breznica;Okres Puchov;Trenciansky kraj
Dolna Krupa;Okres Trnava;Trnavsky kraj
Dolna Lehota;Okres Brezno;Banskobystricky kraj
Dolna Marikova;Okres Povazska Bystrica;Trenciansky kraj
Dolna Micina;Okres Banska Bystrica;Banskobystricky kraj
Dolna Poruba;Okres Trencin;Trenciansky kraj
Dolna Sec;Okres Levice;Nitriansky kraj
Dolna Streda;Okres Galanta;Trnavsky kraj
Dolna Strehova;Okres Velky Krtis;Banskobystricky kraj
Dolna Suca;Okres Trencin;Trenciansky kraj
Dolna Tizina;Okres Zilina;Zilinsky kraj
Dolna Trnavka;Okres Ziar nad Hronom;Banskobystricky kraj
Dolna Ves;Okres Ziar nad Hronom;Banskobystricky kraj
Dolna Zdana;Okres Ziar nad Hronom;Banskobystricky kraj
Dolne Dubove;Okres Trnava;Trnavsky kraj
Dolne Kockovce;Okres Puchov;Trenciansky kraj
Dolne Lefantovce;Okres Nitra;Nitriansky kraj
Dolne Lovcice;Okres Trnava;Trnavsky kraj
Dolne Mladonice;Okres Krupina;Banskobystricky kraj
Dolne Nastice;Okres Banovce nad Bebravou;Trenciansky kraj
Dolne Obdokovce;Okres Nitra;Nitriansky kraj
Dolne Oresany;Okres Trnava;Trnavsky kraj
Dolne Otrokovce;Okres Hlohovec;Trnavsky kraj
Dolne Plachtince;Okres Velky Krtis;Banskobystricky kraj
Dolne Saliby;Okres Galanta;Trnavsky kraj
Dolne Semerovce;Okres Levice;Nitriansky kraj
Dolne Srnie;Okres Nove Mesto nad Vahom;Trenciansky kraj
Dolne Strhare;Okres Velky Krtis;Banskobystricky kraj
Dolne Trhoviste;Okres Hlohovec;Trnavsky kraj
Dolne Vestenice;Okres Prievidza;Trenciansky kraj
Dolne Zahorany;Okres Rimavska Sobota;Banskobystricky kraj
Dolne Zelenice;Okres Hlohovec;Trnavsky kraj
Dolny Badin;Okres Krupina;Banskobystricky kraj
Dolny Bar;Okres Dunajska Streda;Trnavsky kraj
Dolny Harmanec;Okres Banska Bystrica;Banskobystricky kraj
Dolny Hricov;Okres Zilina;Zilinsky kraj
Dolny Chotar;Okres Galanta;Trnavsky kraj
Dolny Kalnik;Okres Martin;Zilinsky kraj
Dolny Kubin;Okres Dolny Kubin;Zilinsky kraj
Dolny Lieskov;Okres Povazska Bystrica;Trenciansky kraj
Dolny Lopasov;Okres Piestany;Trnavsky kraj
Dolny Ohaj;Okres Nove Zamky;Nitriansky kraj
Dolny Pial;Okres Levice;Nitriansky kraj
Dolny Stal;Okres Dunajska Streda;Trnavsky kraj
Dolny Vadicov;Okres Kysucke Nove Mesto;Zilinsky kraj
Domadice;Okres Levice;Nitriansky kraj
Domaniky;Okres Krupina;Banskobystricky kraj
Domaniza;Okres Povazska Bystrica;Trenciansky kraj
Domanovce;Okres Levoca;Presovsky kraj
Donovaly;Okres Banska Bystrica;Banskobystricky kraj
Drabsko;Okres Brezno;Banskobystricky kraj
Drahnov;Okres Michalovce;Kosicky kraj
Drahovce;Okres Piestany;Trnavsky kraj
Dravce;Okres Levoca;Presovsky kraj
Drazice;Okres Rimavska Sobota;Banskobystricky kraj
Drazkovce;Okres Martin;Zilinsky kraj
Drazovce;Okres Krupina;Banskobystricky kraj
Driencany;Okres Rimavska Sobota;Banskobystricky kraj
Drienica;Okres Sabinov;Presovsky kraj
Drienov;Okres Presov;Presovsky kraj
Drienovec;Okres Kosice - okolie;Kosicky kraj
Drienovo;Okres Krupina;Banskobystricky kraj
Drienovska Nova Ves;Okres Presov;Presovsky kraj
Drietoma;Okres Trencin;Trenciansky kraj
Drna;Okres Rimavska Sobota;Banskobystricky kraj
Drnava;Okres Roznava;Kosicky kraj
Druzstevna pri Hornade;Okres Kosice - okolie;Kosicky kraj
Drzenice;Okres Levice;Nitriansky kraj
Drzkovce;Okres Revuca;Banskobystricky kraj
Dubakovo;Okres Poltar;Banskobystricky kraj
Dubinne;Okres Bardejov;Presovsky kraj
Dubnica nad Vahom;Okres Ilava;Trenciansky kraj
Dubnicka;Okres Banovce nad Bebravou;Trenciansky kraj
Dubnik;Okres Nove Zamky;Nitriansky kraj
Dubno;Okres Rimavska Sobota;Banskobystricky kraj
Dubodiel;Okres Trencin;Trenciansky kraj
Dubova, okres Pezinok;Okres Pezinok;Bratislavsky kraj
Dubova, okres Svidnik;Okres Svidnik;Presovsky kraj
Dubovany;Okres Piestany;Trnavsky kraj
Dubovce;Okres Skalica;Trnavsky kraj
Dubove, okres Turcianske Teplice;Okres Turcianske Teplice;Zilinsky kraj
Dubove, okres Zvolen;Okres Zvolen;Banskobystricky kraj
Dubovec;Okres Rimavska Sobota;Banskobystricky kraj
Dubovica;Okres Sabinov;Presovsky kraj
Dubrava, okres Levoca;Okres Levoca;Presovsky kraj
Dubrava, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky kraj
Dubrava, okres Snina;Okres Snina;Presovsky kraj
Dubravica;Okres Banska Bystrica;Banskobystricky kraj
Dubravka;Okres Michalovce;Kosicky kraj
Dubravy;Okres Detva;Banskobystricky kraj
Ducove;Okres Piestany;Trnavsky kraj
Dudince;Okres Krupina;Banskobystricky kraj
Dukovce;Okres Svidnik;Presovsky kraj
Dulov;Okres Ilava;Trenciansky kraj
Dulova Ves;Okres Presov;Presovsky kraj
Dulovce;Okres Komarno;Nitriansky kraj
